"(PDH-CSV 4.0) (Romance Daylight Time)(-120)","\\XXXX\processor(_total)\% processor time","\\XXXX\logicaldisk(_total)\disk reads/sec","\\XXXX\logicaldisk(_total)\disk writes/sec","\\XXXX\sqlserver:databases(_total)\log bytes flushed/sec"
"06/19/2017 13:23:32.019"," "," "," "," "
"06/19/2017 13:23:33.024","12.980230507260259","39.803111520676282","33.83264479257484","391280.50749285612"
"06/19/2017 13:23:34.028","8.467608752730694","0.99604292068470368","29.881287620541112","1036267.1179936348"
"06/19/2017 13:23:35.032","11.385762231730157","14.940924778699006","21.913356342091873","587501.06777809083"
"06/19/2017 13:23:36.036","15.811618170385234","45.81800355898315","38.84569866957267","868996.20802234195"
"06/19/2017 13:23:37.041","20.365490119282669","1.990128960356631","20.896354083744626","366820.5699729342"
"06/19/2017 13:23:38.046","23.23215959913939","2.9851677759815471","16.915950730562102","456483.89585569559"
"06/19/2017 13:23:39.052","25.395618144466159","63.621083008971851","39.763176880607404","1172663.8020213691"
"06/19/2017 13:23:40.057","27.216309701393403","44.77753089769039","110.45124288096963","1459118.6317196547"
"06/19/2017 13:23:41.062","19.733851405044632","16.91606923090395","44.77783031709869","1108611.5131165213"
"06/19/2017 13:23:42.067","14.292068499619981","23.881281374033406","28.856548326957032","790693.30543999677"
"06/19/2017 13:23:43.071","12.893466997823111","0.99605974701038646","57.771465326602417","681336.74086700869"
"06/19/2017 13:23:44.076","9.822048178360598","133.33953196311771","48.758485568602751","1455064.65733412"
"06/19/2017 13:23:45.080","7.7867493900135916","0.99606609671499002","23.90558632115976","359030.03242872469"
"06/19/2017 13:23:46.084","7.883950304201548","0.99601593625498008","183.26693227091633","2092876.4940239044"
"06/19/2017 13:23:47.089","9.6762808055346419","0","3328.4906861964655","432033.11574590032"
"06/19/2017 13:23:48.094","11.133904780441439","0.99505877692788269","5225.0536376483115","260848.68801898288"
"06/19/2017 13:23:49.098","10.850768932717703","11.952934126583166","236.07044900001753","971024.49395261216"
"06/19/2017 13:23:50.102","8.3217060023722205","6.9722893332738369","28.88519866642018","1085222.8901454061"
"06/19/2017 13:23:51.107","8.0728719663754838","1.9901112169673378","16.915945344222372","407574.77723491081"
"06/19/2017 13:23:52.111","9.2944266011525389","1.9921118744529662","7.9684474978118649","85676.747496473166"
"06/19/2017 13:23:53.115","9.9678324769291287","1.9901251581751476","6.9654380536130169","57060.868535197835"
"06/19/2017 13:23:54.119","12.796193141455149","0","1603.6255243955068","603807.83968493878"
"06/19/2017 13:23:55.124","10.502239349321474","0.99503596457990373","818.91459884926076","489080.07731031429"
"06/19/2017 13:23:56.128","13.282573513123275","2513.120421000961","2206.3264893052433","954710.84074287163"
"06/19/2017 13:23:57.132","12.504438685676911","1355.632994748471","1092.6740596907221","1778813.605782164"
"06/19/2017 13:23:58.136","11.434328084961509","1990.1051731738125","553.80304118350341","2203100.2133297124"
"06/19/2017 13:23:59.140","10.802131367245494","438.26866347182096","162.35861851342457","824136.33183472021"
"06/19/2017 13:24:00.144","10.218491559992049","24.901057143503717","30.877310857944607","1089303.7170385702"
"06/19/2017 13:24:01.149","10.21075122189259","4.9752954688670679","21.891300063015102","1043395.084312551"
"06/19/2017 13:24:02.153","10.753493801773285","12.94866940270059","58.767038058410371","2264303.9369054767"
"06/19/2017 13:24:03.158","4.8175574407432586","2.9851972427285367","15.921051961218863","533928.39857143583"
"06/19/2017 13:24:04.162","5.8412795615427111","0.99605815959688493","22.909337670728352","534460.90304385812"
"06/19/2017 13:24:05.167","5.4492055634193459","4.9752637845056435","42.787268546748528","892586.20420647797"
"06/19/2017 13:24:06.172","8.2186941798644835","3.9802313055699989","34.827023923737492","1691439.0956150268"
"06/19/2017 13:24:07.177","7.1011012612681501","0","26.866963394697741","1137153.1813350469"
"06/19/2017 13:24:08.181","8.5162736600094426","0.99604260321232507","52.790257970253229","1052585.9497114823"
"06/19/2017 13:24:09.186","6.4209388378054673","7.9605386546243881","19.901346636560969","949660.41934207105"
"06/19/2017 13:24:10.190","7.0571882347492121","0","45.818310239842518","1232106.1569609409"
"06/19/2017 13:24:11.195","5.6435427014120183","0","14.92597195541218","464639.53658319905"
"06/19/2017 13:24:12.200","7.3926815206296297","0","13.93065431726102","501312.50644790288"
"06/19/2017 13:24:13.205","6.7609970896261418","0.99507557001908953","16.916284690324524","676587.70277649967"
"06/19/2017 13:24:14.210","6.5667520433689734","2.9851696770444431","16.915961503251843","590983.99153007846"
"06/19/2017 13:24:15.215","4.8176052765598669","0","18.90623716366003","525776.48513070226"
"06/19/2017 13:24:16.220","5.7406834322264562","0.99506099485083799","38.807378799182679","811078.19714689744"
"06/19/2017 13:24:17.224","5.7893376219379515","11.940625478620072","52.737762530571985","611360.02450534771"
"06/19/2017 13:24:18.228","8.6621217800260446","0","21.913377296083674","697658.18510062469"
"06/19/2017 13:24:19.233","10.502276016873946","2.9851687265126925","25.871462296443337","986331.58903954318"
"06/19/2017 13:24:20.238","14.097721953189257","13.930818441155745","51.743039924292766","1699591.6916917237"
"06/19/2017 13:24:21.242","8.6135206057234566","8.9645491525034764","32.870013559179412","665018.14584118233"
"06/19/2017 13:24:22.247","9.4333550854991515","0.99505782639249973","79.60462611139998","1014863.457369016"
"06/19/2017 13:24:23.252","13.028810972485005","0.99505022217481354","12.935652888272577","138574.67414095323"
"06/19/2017 13:24:24.257","15.84683565099445","2.9852000943800863","17.91120056628052","460564.63109454472"
"06/19/2017 13:24:25.261","8.9053904793342298","4.9801955551475778","17.928703998531279","469174.26285934297"
